FULL
0, 0
0, 1
0, 2
1, 2
1, 3
2, 3
2, 4
2, 5
2, 6
2, 7
2, 8
1, 8
1, 9
2, 9
2, 10
2, 11
2, 12
1, 12
1, 11
0, 11
0, 12
0, 13
0, 14
1, 14
1, 15
1, 16
1, 17
1, 18
0, 18
0, 19
1, 19
2, 19
3, 19
4, 19
5, 19
5, 18
6, 18
7, 18
8, 18
8, 17
8, 16
9, 16
9, 17
9, 18
10, 18
10, 19
10, 20
9, 20
9, 21
9, 22
9, 23
8, 23
8, 24
9, 24
10, 24
11, 24
12, 24
13, 24
13, 23
14, 23
14, 22
13, 22
13, 21
12, 21
11, 21
11, 20
11, 19
11, 18
12, 18
12, 17
13, 17
13, 16
14, 16
14, 17
14, 18
15, 18
15, 19
15, 20
14, 20
14, 21
15, 21
16, 21
16, 20
17, 20
18, 20
18, 19
19, 19
20, 19
20, 20
19, 20
19, 21
19, 22
20, 22
20, 23
20, 24
21, 24
22, 24
23, 24
23, 23
22, 23
22, 22
23, 22
24, 22
24, 23
24, 24
24, 24
